hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Saltstayz Studio Apartment - Near Artemis & Medanta Hospital,"₹ 1,980",9.2,Superb,17,"Sector 40 - 44, Gurgaon",One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",+₹ 238 taxes and charges,0,1 night, 2 adults,"₹ 3,960",True,True,2023-08-15,2023-08-16,"Room service, Family rooms, Free WiFi, Free parking, 24-hour front desk, Breakfast"
Hotel Lotus Paradise,"₹ 1,637",7.2,Good,352,Sonīpat,Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 196 taxes and charges,3,1 night, 2 adults,"₹ 2,519",False,False,2023-08-15,2023-08-16,"Indoor swimming pool, Free WiFi, Free parking, Airport shuttle, Family rooms, Non-smoking rooms, Room service, Superb breakfast"
Hotel Home In By Amrik Sukhdev,"₹ 6,099",8.7,Fabulous,55,Sonīpat,Superior Family Room,"2 beds (1 extra-large double, 1 sofa bed)",+₹ 732 taxes and charges,4,1 night, 2 adults,"₹ 6,099",False,True,2023-08-15,2023-08-16,"Free WiFi, Free parking, Airport shuttle, Family rooms, Restaurant, Non-smoking rooms, Room service, Facilities for disabled guests, Fitness centre, Good breakfast"
Neemrana's - Tijara Fort Palace,"₹ 8,000",8.4,Very good,261,Tijāra,Heritage Comfort,1 double bed,"+₹ 1,440 taxes and charges",4,1 night, 2 adults,"₹ 8,000",True,True,2023-08-15,2023-08-16,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Spa and wellness centre, Tea/coffee maker in all rooms, Very good breakfast"
Lime Tree Hotel and Banquet Greater Noida,"₹ 20,000",7.7,Good,99,Greater Noida,Superior King Room,1 extra-large double bed,"+₹ 3,600 taxes and charges",4,1 night, 2 adults,"₹ 20,000",False,True,2023-08-15,2023-08-16,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking"
Neemrana's - Hill Fort - Kesroli,"₹ 8,000",8.0,Very good,211,Alwar,Heritage Romance,1 extra-large double bed,"+₹ 1,440 taxes and charges",4,1 night, 2 adults,"₹ 8,000",True,True,2023-08-15,2023-08-16,"Outdoor swimming pool, Free WiFi, Free parking, Family rooms, Restaurant, Non-smoking rooms, Spa and wellness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hotel Royal 9,"₹ 3,645",8.3,Very good,20,Meerut,Superior Double Room,1 extra-large double bed,+₹ 437 taxes and charges,0,1 night, 2 adults,"₹ 4,050",False,True,2023-08-15,2023-08-16,"Free WiFi, Free parking, Non-smoking rooms, Room service, Tea/coffee maker in all rooms, Breakfast"
Ratan Villas Sariska,"₹ 6,715",8.2,Very good,10,Alwar,King Room with Pool View,1 extra-large double bed,+₹ 806 taxes and charges,0,1 night, 2 adults,"₹ 8,500",True,True,2023-08-15,2023-08-16,"2 swimming pools, Free WiFi, Free parking, Family rooms, Restaurant, Non-smoking rooms, Room service, Tea/coffee maker in all rooms, Breakfast"
The Red York,"₹ 1,460",7.9,Good,226,Noida,Deluxe Room,1 double bed,+₹ 175 taxes and charges,3,1 night, 2 adults,"₹ 3,649",False,True,2023-08-15,2023-08-16,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Breakfast"
"Fortune Park Orange, Sidhrawali - Member ITC's Hotel Group","₹ 3,200",8.0,Very good,75,Bhiwadi,Deluxe Twin Room,2 single beds,+₹ 384 taxes and charges,4,1 night, 2 adults,"₹ 3,200",False,True,2023-08-15,2023-08-16,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
