hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Lotus Paradise,"₹ 2,969",7.2,Good,352,Sonīpat,Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 356 taxes and charges,3,1 night, 2 adults,"₹ 2,969",False,False,2024-05-18,2024-05-19,"Indoor swimming pool, Free WiFi, Airport shuttle, Family rooms, Free parking, Non-smoking rooms, Room service, Superb breakfast"
Lime Tree Hotel and Banquet Greater Noida,"₹ 20,000",7.7,Good,100,Greater Noida,Superior King Room,1 extra-large double bed,"+₹ 3,600 taxes and charges",4,1 night, 2 adults,"₹ 20,000",False,True,2024-05-18,2024-05-19,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking"
The Red York,"₹ 1,750",7.9,Good,226,Noida,Deluxe Room,1 double bed,+₹ 210 taxes and charges,3,1 night, 2 adults,"₹ 1,750",False,True,2024-05-18,2024-05-19,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Facilities for disabled guests, Free parking, Tea/coffee maker in all rooms, Breakfast"
"Radisson Blu Hotel, Greater Noida","₹ 20,399",7.3,Good,825,Greater Noida,Superior Double or Twin Room,Multiple bed types,"+₹ 3,672 taxes and charges",5,1 night, 2 adults,"₹ 20,399",True,False,2024-05-18,2024-05-19,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Avanti Retreat- Farm Stay,"₹ 5,400",8.2,Very good,22,Dera Māndi,One-Bedroom Chalet,1 large double bed,+₹ 648 taxes and charges,0,1 night, 2 adults,"₹ 5,400",False,True,2024-05-18,2024-05-19,"Indoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Free WiFi, Family rooms, Free parking, Tea/coffee maker in all rooms, Breakfast"
Hotel City Empire,"₹ 2,035",8.0,Very good,"1,707","Paharganj, New Delhi",Superior Double/Twin,Beds: 1 double or 2 singles,+₹ 244 taxes and charges,3,1 night, 2 adults,"₹ 2,394",False,True,2024-05-18,2024-05-19,"Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Free WiFi, Family rooms, Facilities for disabled guests, Tea/coffee maker in all rooms, Good breakfast"
"THE SINGH EMPIRE, New Delhi","₹ 3,188",8.0,Very good,"1,171","Paharganj, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,+₹ 382 taxes and charges,4,1 night, 2 adults,"₹ 3,188",False,True,2024-05-18,2024-05-19,"Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Tripple Tree - Karol Bagh,"₹ 5,939",8.0,Very good,225,"Karol bagh, New Delhi",Deluxe Double Room,1 large double bed,+₹ 713 taxes and charges,4,1 night, 2 adults,"₹ 5,939",True,True,2024-05-18,2024-05-19,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Good breakfast"
Saltstayz - Sohna Road,"₹ 38,250",8.6,Fabulous,113,"Sector 40 - 44, Gurgaon",Deluxe Room,1 double bed,"+₹ 6,885 taxes and charges",3,1 night, 2 adults,"₹ 38,250",True,True,2024-05-18,2024-05-19,"Non-smoking rooms, Room service, Free WiFi, Free parking, Good breakfast"
The Vertigo,"₹ 2,368",8.0,Very good,122,Noida,Deluxe Room,1 large double bed,+₹ 284 taxes and charges,3,1 night, 2 adults,"₹ 2,368",False,True,2024-05-18,2024-05-19,"Airport shuttle, Non-smoking rooms, Room service, Very good breakfast"
Radisson Blu Towers Kaushambi Delhi NCR,"₹ 5,147",7.5,Good,"1,636",Ghaziabad,Superior Room,Multiple bed types,+₹ 618 taxes and charges,5,1 night, 2 adults,"₹ 5,147",False,False,2024-05-18,2024-05-19,"Outdoor swimming pool, Airport shuttle, Room service, Restaurant, Fitness centre, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Noormahal Palace Hotel,"₹ 10,944",6.7,Review score,65,Karnāl,Club Double Room,1 double bed,"+₹ 1,970 taxes and charges",5,1 night, 2 adults,"₹ 10,944",True,True,2024-05-18,2024-05-19,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Bar, Very good breakfast"
Radisson Blu Faridabad,"₹ 15,499",7.6,Good,746,Faridabad,Superior Double or Twin Room - 15% Dis on FnB,Beds: 1 double or 2 singles,"+₹ 2,790 taxes and charges",5,1 night, 2 adults,"₹ 15,499",False,True,2024-05-18,2024-05-19,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Smart Plaza Delhi Airport,"₹ 1,709",7.5,Good,"3,846","South West, New Delhi",Deluxe Room,1 double bed,+₹ 205 taxes and charges,4,1 night, 2 adults,"₹ 1,709",True,True,2024-05-18,2024-05-19,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Laundry, Breakfast"
Avatar Living @Safdarjung Enclave,"₹ 6,804",8.9,Fabulous,279,"Safdarjung Enclave, New Delhi",Deluxe Double Room,1 large double bed,+₹ 816 taxes and charges,0,1 night, 2 adults,"₹ 6,804",True,True,2024-05-18,2024-05-19,"Airport shuttle (free), Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Tea/coffee maker in all rooms"
The Dadhikar Fort Hotel,"₹ 6,500",7.5,Good,53,Alwar,Deluxe Room,1 double bed,+₹ 780 taxes and charges,4,1 night, 2 adults,"₹ 6,500",True,True,2024-05-18,2024-05-19,"Airport shuttle, Family rooms, Free parking, Non-smoking rooms, Very good breakfast"
Radisson Blu Kaushambi Delhi NCR,"₹ 5,399",7.2,Good,549,Ghaziabad,Superior Double or Twin Room,Multiple bed types,+₹ 648 taxes and charges,5,1 night, 2 adults,"₹ 5,399",False,False,2024-05-18,2024-05-19,"Outdoor swimming pool, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Saltstayz Le Icon - Cyber Hub,"₹ 42,500",8.9,Fabulous,135,"DLF Cyber City, Gurgaon",Deluxe Room,1 extra-large double bed,"+₹ 7,650 taxes and charges",3,1 night, 2 adults,"₹ 42,500",True,True,2024-05-18,2024-05-19,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Superb breakfast"
